Time (ms),Px,Py,Pz,Confidence
48366,-0.27,6.19,1.59,51
48484,-0.28,6.09,1.44,61
48686,-0.34,5.93,1.34,55
48808,-0.32,5.76,1.36,69
48885,-0.42,5.64,1.2,58
49007,-0.45,5.57,1.21,67
49077,-0.51,5.53,1.12,73
49199,-0.5,5.53,1.15,79
49276,-0.51,5.53,1.09,75
49398,-0.49,5.48,1.05,63
49468,-0.45,5.49,1.02,76
49590,-0.39,5.48,1.02,77
49789,-0.3,5.42,0.97,72
49911,-0.23,5.37,0.91,71
50110,-0.21,5.22,1.08,70
50302,-0.16,5.04,1.08,69
50494,-0.11,4.94,1.14,68
50571,-0.07,4.89,1.13,67
50693,-0.04,4.85,1.08,65
50763,-0.02,4.82,1.05,66
50892,0,4.81,1.05,67
50962,0.01,4.78,1.05,66
51084,0.02,4.78,1.05,67
51206,0.02,4.77,1.03,66
51283,-0.02,4.73,1,48
51405,-0.06,4.7,0.96,47
51475,-0.04,4.71,0.99,67
51597,-0.04,4.71,1.04,67
51674,-0.05,4.71,1.05,67
51796,-0.06,4.7,1.06,65
51866,-0.02,4.75,0.98,66
51995,0.01,4.79,0.9,66
52065,0.01,4.79,0.92,67
52309,0.01,4.76,0.95,47
52475,0.02,4.73,0.93,71
52597,0.02,4.74,0.96,47
52796,-0.01,4.75,1,86
52866,-0.02,4.74,1.03,66
52988,-0.01,4.74,1.02,66
53110,0,4.73,0.99,65
53187,-0.01,4.71,0.99,64
53309,-0.01,4.67,0.97,62
53379,-0.01,4.65,0.97,63
53508,-0.01,4.65,0.99,65
53578,-0.03,4.67,0.99,66
53708,-0.02,4.67,0.97,64
53785,-0.02,4.68,1.01,85
53907,-0.02,4.68,1,65
53977,-0.03,4.69,1.03,66
54106,-0.04,4.68,1.03,65
54176,-0.04,4.68,1.03,65
54298,-0.04,4.68,1.02,65
54368,-0.03,4.68,1.03,66
54497,-0.04,4.68,1.01,64
54567,-0.02,4.67,1.01,65
54689,-0.02,4.67,1,65
54766,-0.02,4.69,1,66
54888,-0.01,4.71,1.01,67
55010,-0.01,4.69,0.98,63
55087,-0.02,4.7,0.99,66
55209,-0.04,4.7,1.03,67
55279,-0.05,4.72,1.05,67
55401,-0.05,4.72,1.04,66
55478,-0.04,4.72,1.04,66
55600,-0.03,4.71,1.01,65
55670,-0.03,4.71,1.03,66
55991,-0.02,4.71,1.02,65
56113,-0.01,4.7,1.02,65
56183,-0.01,4.69,1.03,65
56312,0,4.7,1.02,63
56382,-0.02,4.7,1.03,65
56504,0.03,4.71,0.88,55
56581,0.03,4.73,0.85,64
56703,0.02,4.77,0.91,65
56773,0.01,4.83,0.98,64
56895,-0.01,4.85,1,65
56972,-0.02,4.86,1.01,67
57094,-0.03,4.83,1.03,73
57216,-0.05,4.84,1.01,66
57293,0.05,5.06,1.74,65
57415,-0.03,5.01,1.53,66
57485,-0.06,4.97,1.42,68
57614,-0.04,4.91,1.23,60
57684,-0.02,4.9,1.1,62
57806,-0.01,4.87,1.03,66
57915,0,4.86,1.01,67
57985,-0.01,4.84,0.95,64
58107,0.02,4.83,0.91,65
58177,-0.03,4.88,1.25,66
58306,0.04,4.87,1.12,69
58376,0.06,4.85,1.19,68
58498,0.07,4.82,1.22,69
58575,0.09,4.8,1.27,68
58697,0.08,4.73,1.29,72
58819,0.13,4.74,1.23,68
59018,0.1,4.73,1.24,70
59088,0.02,4.81,1.02,68
59210,0.01,4.88,0.9,66
59409,0.12,4.8,1.04,70
59479,0.15,4.72,1.14,66
59601,0.17,4.69,1.3,88
59671,0.17,4.75,1.54,95
59800,0.17,5.02,2.02,58
59870,0.11,5.43,2.57,54
59992,0.1,6.01,3.15,25
60069,0.06,6.6,3.66,23
60191,-0.07,7.45,3.23,79
60313,-0.06,8.1,4.02,33
60383,-0.04,8.81,4.74,45
60512,0,9.52,5.33,49
60582,-0.83,9.56,2.69,50
60704,-0.63,10.49,3.87,47
60781,-1.35,10.6,1.4,56
61095,-0.96,12.09,2.76,50
61217,-0.64,13.34,3.75,66
61486,-0.87,15.34,2.63,27
61608,-0.91,16.89,2.01,40
61685,-0.82,18.13,1.77,82
61807,-0.62,19.08,1.78,86
61929,-0.31,19.98,1.82,69
61999,-0.04,20.67,1.9,70
62198,-0.03,21.33,1.93,68
62320,0.12,21.86,1.98,95
62519,0.09,22.41,1.79,74
62589,0.2,22.83,1.77,80
62781,0.22,23.24,1.63,65
62910,0.39,23.65,1.73,65
62980,0.4,23.91,1.5,53
63102,0.46,24.11,1.44,59
63224,0.52,24.29,1.39,64
63301,0.74,24.57,1.66,73
63423,0.73,24.65,1.5,65
63493,0.76,24.76,1.4,74
63570,0.87,24.94,1.56,82
63814,0.97,25.14,1.69,85
63884,0.91,25.21,1.4,67
64013,0.9,25.3,1.25,79
64083,1.01,25.49,1.51,80
64275,1.14,25.68,1.66,86
64404,1.12,25.71,1.4,82
64526,1.13,25.71,1.24,85
64596,1.1,25.69,1.04,74
64725,1.07,25.72,0.95,82
64795,1.04,25.72,0.88,81
64917,1,25.71,0.89,83
65116,0.78,25.73,0.95,85
65186,0.67,25.77,0.97,69
65308,0.59,25.85,1.2,68
65385,0.52,25.96,1.4,64
65507,0.52,26.14,1.6,64
65577,0.52,26.31,1.76,62
65706,0.48,26.45,1.82,64
65898,0.39,26.58,1.84,59
66020,0.27,26.71,1.85,77
66289,0.18,26.75,1.68,89
66732,-0.18,26.94,1.73,62
66802,-0.39,27.03,1.87,84
66924,-0.36,26.93,1.83,90
66994,-0.32,26.89,1.88,91
67315,-0.53,27.13,1.83,77
67688,-0.63,27.42,1.94,79
68072,-0.72,27.63,1.98,82
68393,-0.79,27.78,2,83
68463,-0.81,27.92,2.05,80
68585,-0.82,28,2.11,76
68662,-0.84,28.08,2.14,80
68784,-0.91,28.15,2.08,90
68854,-0.9,28.21,2.12,81
68976,-0.92,28.26,2.15,82
69053,-1.06,28.18,1.77,80
69175,-0.89,28.36,1.92,77
69245,-0.87,28.39,2.04,79
69367,-1.01,28.29,1.7,77
69496,-0.92,28.3,1.93,67
69566,-1.02,28.15,1.56,69
69688,-0.93,28.21,1.82,69
69784,-0.89,28.25,2.01,71
69854,-1.04,28.2,1.68,78
69976,-1.12,28.08,1.37,70
70053,-1.18,27.99,1.14,70
70175,-1.24,27.94,0.99,74
70245,-1.05,28.09,1.38,69
70444,-1.09,28.05,1.13,73
70688,-0.98,28.13,1.51,68
70758,-0.89,28.2,1.78,68
70887,-0.83,28.27,1.99,71
70957,-0.79,28.33,2.13,74
71149,-0.7,28.42,2.26,70
71348,-0.69,28.43,2.38,69
71470,-0.65,28.42,2.51,62
71592,-0.65,28.42,2.55,69
71669,-0.85,28.25,2.01,71
71791,-0.86,28.24,2.18,68
71861,-0.98,28.11,1.72,68
71983,-0.95,28.1,1.97,64
72060,-1.03,27.98,1.54,63
72182,-0.92,28.1,1.85,66
72252,-0.83,28.19,2.05,68
72381,-0.96,28.04,1.63,51
72503,-1.11,28.08,1.46,79
72573,-1.21,28.1,1.32,78
72691,-1.23,27.97,1.06,49
72771,-1.26,27.91,0.89,57
72893,-1.27,27.85,0.74,53
72970,-1.28,27.81,0.64,55
73092,-1.33,27.88,0.65,74
73605,-1.31,27.94,0.88,49
